"Season","Colony","ring","sex","Mate_ID","Focal_Seasons","Mate_Seasons","Mate_min_Seasons","Focal_min_Seasons","predation","Pair","julian_date_first","days_to_last_brood","total_pair_duration","total_pair_duration_nogaps","N_Clutches_Pair","N_Clutches_Focal","breeding_exp_pair_nogaps","breeding_exp_Focal","breeding_exp_Focal_nogaps","breeding_exp_Mate","breeding_exp_Mate_nogaps","breeding_exp_Focal_days_season","breeding_exp_Mate_days_season","N_of_life_partners_Focal","N_of_life_partners_Mate","breeding_exp_pair_days_season","tot_fitness","N_eggs_season","Season_Focal","Season_Mate","season_length_population","recruitment_age_Focal","recruitment_age_Mate","Clutch_size_pair_season_mean","N_Clutches_Mate","N_Clutches_Pair_succ","N_hatched","lifespan_min_Focal","lifespan_min_Mate","lifespan_exact_Focal","lifespan_exact_Mate","prop_succ_breeding_attempt","Focal.cohort","Mate.cohort","season_length","season_of_protection","Col_Size","season_start","Min_Age_Focal_season_days","Min_Age_Mate_season_days","breeding_exp_pair_days_season_earliest","breeding_exp_Focal_days_season_earliest","breeding_exp_Mate_days_season_earliest","Min_Age_Focal_season_days_earliest","Min_Age_Mate_season_days_earliest"
"2015/2016",8,"BH94808","1","BJ09896",3,1,1,3,"protected","BJ09896_BH94808",152,112,1,1,2,2,1,3,3,1,1,812,156,3,2,58,6,7,"2015/2016_BH94808","2015/2016_BJ09896",321,1,1,3.57142857142857,3,2,4,3,3,3,3,1,2012,2014,170,6,116,"2016-03-01",1258,626,0,754,0,1200,470
"2015/2016",8,"BH85279","1","BH89030",4,1,2,5,"protected","BH89030_BH85279",149,88,2,2,2,2,1,3,3,1,1,836,85,2,2,85,1,8,"2015/2016_BH85279","2015/2016_BH89030",321,3,2,4,2,1,NA,6,4,6,4,0.5,2011,2014,173,6,116,"2016-02-27",1937,742,0,751,0,1852,657
"2015/2016",8,"BH85279","1","BH89030",4,1,2,5,"protected","BH89030_BH85279",149,88,2,2,2,2,1,3,3,1,1,836,85,2,2,85,1,8,"2015/2016_BH85279","2015/2016_BH89030",321,3,2,4,2,1,3,6,4,6,4,0.5,2011,2014,173,6,116,"2016-02-27",1937,742,0,751,0,1852,657
"2015/2016",8,"BH94816","1","BH88836",3,1,2,3,"protected","BH88836_BH94816",147,110,1,1,2,2,1,2,3,1,1,754,65,2,2,65,4,6,"2015/2016_BH94816","2015/2016_BH88836",321,1,2,3,2,2,3,3,4,3,4,1,2012,2014,175,6,116,"2016-02-25",1260,818,0,689,0,1195,753
"2015/2016",8,"BH94816","1","BH88836",3,1,2,3,"protected","BH88836_BH94816",147,110,1,1,2,2,1,2,3,1,1,754,65,2,2,65,4,6,"2015/2016_BH94816","2015/2016_BH88836",321,1,2,3,2,2,2,3,4,3,4,1,2012,2014,175,6,116,"2016-02-25",1260,818,0,689,0,1195,753
"2015/2016",8,"BH94815","1","BJ09644",3,1,2,3,"protected","BJ09644_BH94815",146,81,1,1,3,3,1,2,3,1,1,805,95,2,1,95,2,9,"2015/2016_BH94815","2015/2016_BJ09644",321,1,2,3,3,1,0,4,2,4,2,0.333333333333333,2012,2014,176,6,116,"2016-02-24",1289,718,0,710,0,1194,623
"2015/2016",8,"BH94815","1","BJ09644",3,1,2,3,"protected","BJ09644_BH94815",146,81,1,1,3,3,1,2,3,1,1,805,95,2,1,95,2,9,"2015/2016_BH94815","2015/2016_BJ09644",321,1,2,3,3,1,2,4,2,4,2,0.333333333333333,2012,2014,176,6,116,"2016-02-24",1289,718,0,710,0,1194,623
"2015/2016",8,"BH94815","1","BJ09644",3,1,2,3,"protected","BJ09644_BH94815",146,81,1,1,3,3,1,2,3,1,1,805,95,2,1,95,2,9,"2015/2016_BH94815","2015/2016_BJ09644",321,1,2,3,3,1,3,4,2,4,2,0.333333333333333,2012,2014,176,6,116,"2016-02-24",1289,718,0,710,0,1194,623
"2015/2016",8,"BH85352","1","BH76556",4,NA,7,5,"protected","BH76556_BH85352",150,32,3,3,3,3,3,3,3,3,3,938,938,1,2,938,3,8,"2015/2016_BH85352","2015/2016_BH76556",321,3,NA,2.75,3,2,NA,5,7,5,NA,0.666666666666667,2011,NA,172,6,116,"2016-02-28",1968,2545,798,798,798,1828,2405
"2015/2016",8,"BH85352","1","BH76556",4,NA,7,5,"protected","BH76556_BH85352",150,32,3,3,3,3,3,3,3,3,3,938,938,1,2,938,3,8,"2015/2016_BH85352","2015/2016_BH76556",321,3,NA,2.75,3,2,2,5,7,5,NA,0.666666666666667,2011,NA,172,6,116,"2016-02-28",1968,2545,798,798,798,1828,2405
